X,Y,Z
-0.285874,-0.542975,13.1057
-0.311584,-0.580124,12.7578
-0.338438,-0.621815,12.4194
-0.366776,-0.668328,12.0903
-0.396931,-0.719997,11.7704
-0.429237,-0.777217,11.4593
-0.464035,-0.840444,11.1571
-0.501676,-0.910197,10.8635
-0.542528,-0.987064,10.5784
-0.586982,-1.07171,10.3016
-0.635455,-1.16488,10.0332
-0.688397,-1.2674,9.77305
-0.746298,-1.3802,9.52116
-0.809688,-1.50431,9.27756
-0.87915,-1.64086,9.04234
-0.955321,-1.79112,8.81564
-1.0389,-1.95648,8.59766
-1.13066,-2.13848,8.38872
-1.23144,-2.33883,8.1892
-1.34218,-2.5594,7.99962
-1.4639,-2.80225,7.82065
-1.59774,-3.06963,7.65312
-1.74493,-3.36403,7.49808
-1.90684,-3.68813,7.35683
-2.08497,-4.04488,7.23098
-2.28096,-4.43746,7.12249
-2.49661,-4.86929,7.03377
-2.73388,-5.34404,6.96777
-2.99489,-5.8656,6.92806
-3.28196,-6.43803,6.91898
-3.59757,-7.06552,6.94577
-3.94436,-7.7523,7.01474
-4.32516,-8.50251,7.13346
-4.74289,-9.32,7.31098
-5.2006,-10.2081,7.55806
-5.70135,-11.1691,7.88739
-6.24812,-12.2041,8.31385
-6.84372,-13.3121,8.85467
-7.49055,-14.4892,9.52959
-8.19042,-15.7278,10.3608
-8.94416,-17.0153,11.3727
-9.75127,-18.3323,12.5913
-10.6094,-19.6515,14.0431
-11.5136,-20.9357,15.7536
-12.4558,-22.1364,17.7439
-13.4239,-23.1925,20.028
-14.4007,-24.0307,22.6073
-15.3637,-24.567,25.465
-16.2841,-24.7108,28.5603
-17.1267,-24.3725,31.8227
-17.8513,-23.474,35.1483
-18.4136,-21.9632,38.4014
-18.7685,-19.8283,41.4216
-18.8745,-17.111,44.0385
-18.6982,-13.9127,46.0938
-18.2196,-10.3904,47.466
-17.4367,-6.73985,48.0933
-16.367,-3.16884,47.9861
-15.0472,0.133974,47.2251
-13.5291,3.02547,45.9456
-11.8736,5.42309,44.3111
-10.144,7.30557,42.4855
-8.399,8.70192,40.6115
-6.68891,9.67414,38.7976
-5.05261,10.2996,37.1159
-3.51738,10.6572,35.6058
-2.09992,10.8182,34.2814
-0.808108,10.8419,33.1401
0.356894,10.775,32.1687
1.39871,10.6524,31.3494
2.32408,10.499,30.6624
3.14157,10.3322,30.0887
3.86063,10.1632,29.6109
4.49089,9.9994,29.2137
5.04174,9.8449,28.8837
5.52206,9.7019,28.6098
5.94004,9.5712,28.3827
6.30316,9.45276,28.1943
6.61812,9.34599,28.0383
6.89091,9.24999,27.9091
7.12681,9.16375,27.8023
7.33051,9.08621,27.714
7.50608,9.01631,27.641
7.6571,8.95309,27.5807
7.7867,8.89567,27.5308
7.8976,8.84325,27.4893
7.99216,8.79515,27.4546
8.07246,8.75079,27.4254
8.14029,8.70966,27.4005
8.19723,8.67137,27.3788
8.24465,8.63558,27.3595
8.28374,8.60202,27.3419
8.31557,8.57052,27.3254
8.34106,8.54092,27.3094
8.36105,8.51311,27.2935
8.37625,8.48705,27.2775
8.38733,8.4627,27.261
8.39487,8.44006,27.2438
8.39939,8.41914,27.2258
8.40136,8.39997,27.207
8.40123,8.3826,27.1872
8.39936,8.36706,27.1664
8.39613,8.35341,27.1448
8.39186,8.34168,27.1223
8.38684,8.33192,27.099
8.38135,8.32416,27.0752
8.37563,8.31844,27.0508
8.36991,8.31475,27.0262
8.3644,8.31311,27.0014
8.35927,8.3135,26.9767
8.35469,8.3159,26.9523
8.35081,8.32027,26.9284
8.34776,8.32656,26.9051
8.34564,8.3347,26.8827
8.34454,8.3446,26.8614
8.34455,8.35616,26.8414
8.34571,8.36928,26.8229
8.34807,8.38382,26.8061
8.35164,8.39965,26.7912
8.35644,8.41661,26.7783
8.36246,8.43454,26.7675
8.36967,8.45326,26.759
8.37803,8.47259,26.753
8.38748,8.49234,26.7494
8.39797,8.51231,26.7484
8.4094,8.5323,26.7499
8.42169,8.5521,26.7541
8.43473,8.5715,26.7609
8.44841,8.5903,26.7703
8.4626,8.60829,26.7821
8.47717,8.62527,26.7964
8.49198,8.64104,26.813
8.50689,8.65543,26.8318
8.52174,8.66825,26.8526
8.53639,8.67935,26.8752
8.55069,8.68857,26.8995
8.56447,8.69578,26.9251
8.57761,8.70089,26.9518
8.58993,8.70379,26.9794
8.60132,8.70441,27.0076
8.61163,8.70273,27.0361
8.62074,8.6987,27.0646
8.62854,8.69236,27.0928
8.63492,8.68371,27.1203
8.6398,8.67283,27.147
8.6431,8.65981,27.1723
8.64477,8.64474,27.1962
8.64477,8.62778,27.2183
8.64307,8.60908,27.2383
8.63967,8.58882,27.2561
8.63459,8.5672,27.2713
8.62785,8.54445,27.2838
8.61951,8.5208,27.2934
8.60964,8.49649,27.3001
8.59832,8.47179,27.3036
8.58567,8.44695,27.3039
8.5718,8.42225,27.301
8.55684,8.39794,27.2949
8.54095,8.37429,27.2857
8.52429,8.35156,27.2733
8.50701,8.32999,27.2579
8.48931,8.30982,27.2397
8.47136,8.29126,27.2187
8.45335,8.27453,27.1953
8.43547,8.25981,27.1696
8.4179,8.24727,27.1418
8.40084,8.23704,27.1123
8.38446,8.22925,27.0812
8.36894,8.22399,27.0491
8.35444,8.22133,27.016
8.34113,8.22133,26.9824
8.32915,8.22399,26.9486
8.31864,8.22932,26.915
8.3097,8.23728,26.8818
8.30246,8.24783,26.8495
8.297,8.26087,26.8183
8.29339,8.27631,26.7885
8.29168,8.29402,26.7605
8.29191,8.31385,26.7346
8.29411,8.33563,26.7111
8.29826,8.35918,26.6902
8.30435,8.38428,26.6721
8.31234,8.41071,26.6571
8.32218,8.43823,26.6454
8.33379,8.46658,26.6371
8.34707,8.4955,26.6323
8.36191,8.52471,26.6313
8.37819,8.55391,26.6339
8.39576,8.58283,26.6404
8.41447,8.61115,26.6505
8.43414,8.63859,26.6644
8.45458,8.66485,26.682
8.47561,8.68963,26.703
8.49701,8.71266,26.7275
8.51857,8.73366,26.755
8.54008,8.75238,26.7856
8.56131,8.76857,26.8187
8.58204,8.78202,26.8543
8.60204,8.79252,26.8918
8.62109,8.79992,26.9311
8.63897,8.80408,26.9715
8.65548,8.80489,27.0129
8.67042,8.80228,27.0546
8.68361,8.79622,27.0964
8.69487,8.78673,27.1376
8.70405,8.77384,27.178
8.71103,8.75765,27.2169
8.71569,8.73829,27.254
8.71795,8.71593,27.2888
8.71775,8.69077,27.321
8.71505,8.66306,27.3501
8.70985,8.63307,27.3757
8.70218,8.60111,27.3976
8.69207,8.56752,27.4155
8.67961,8.53265,27.4291
8.66492,8.49688,27.4383
8.64811,8.46058,27.4428
8.62936,8.42416,27.4427
8.60884,8.38801,27.4378
8.58676,8.35253,27.4283
8.56334,8.31809,27.4141
8.53881,8.28509,27.3953
8.51344,8.25387,27.3722
8.48748,8.22477,27.345
8.46121,8.19812,27.3139
8.4349,8.17419,27.2792
8.40883,8.15325,27.2412
8.38327,8.13552,27.2004
8.3585,8.1212,27.1571
8.33477,8.11045,27.1117
8.31233,8.10338,27.0647
8.29144,8.10009,27.0165
8.2723,8.10064,26.9677
8.25514,8.10502,26.9187
8.24013,8.11324,26.8699
8.22744,8.12523,26.8219
8.21722,8.1409,26.7752
8.20958,8.16013,26.7301
8.20464,8.18278,26.6872
8.20245,8.20866,26.647
8.20307,8.23756,26.6097
8.20652,8.26923,26.5758
8.21279,8.30341,26.5458
8.22186,8.33982,26.5198
8.23365,8.37812,26.4983
8.2481,8.41798,26.4815
8.26509,8.45905,26.4697
8.28448,8.50094,26.4629
8.30613,8.54327,26.4615
8.32984,8.58562,26.4655
8.35542,8.62759,26.4749
8.38264,8.66874,26.4898
8.41125,8.70865,26.5101
8.44099,8.74688,26.5356
8.47158,8.78302,26.5663
8.50272,8.81664,26.602
8.53411,8.84735,26.6422
8.56544,8.87475,26.6868
8.59637,8.89848,26.7353
8.62658,8.91821,26.7873
8.65574,8.93364,26.8423
8.68353,8.94451,26.8998
8.70963,8.9506,26.9592
8.73373,8.95174,27.0198
8.75553,8.94783,27.0811
8.77476,8.9388,27.1424
8.79116,8.92466,27.203
8.80451,8.90549,27.2621
8.81461,8.8814,27.3192
8.82129,8.85259,27.3736
8.82442,8.81932,27.4245
8.82391,8.78191,27.4715
8.81971,8.74073,27.5138
8.81181,8.69621,27.551
8.80025,8.64881,27.5826
8.78511,8.59905,27.6082
8.7665,8.54748,27.6274
8.7446,8.49467,27.64
8.71961,8.44121,27.6457
8.69177,8.38769,27.6446
8.66136,8.3347,27.6364
8.62869,8.28285,27.6213
8.59411,8.23269,27.5995
8.55797,8.18479,27.571
8.52065,8.13965,27.5362
8.48255,8.09777,27.4955
8.44407,8.05959,27.4492
8.40562,8.0255,27.3978
8.36761,7.99587,27.3417
8.33044,7.97099,27.2817
8.29449,7.95112,27.2182
8.26016,7.93646,27.1519
8.22779,7.92715,27.0834
8.19772,7.92329,27.0134
8.17028,7.92494,26.9426
8.14575,7.93208,26.8716
8.12438,7.94468,26.8011
8.10641,7.96263,26.7319
8.09203,7.9858,26.6645
8.08141,8.01401,26.5997
8.07467,8.04704,26.538
8.07191,8.08462,26.4801
8.07318,8.12645,26.4266
8.0785,8.17222,26.3779
8.08788,8.22153,26.3347
8.10124,8.27401,26.2974
8.11852,8.3292,26.2664
8.13959,8.38665,26.2422
8.16429,8.44586,26.225
8.19245,8.50632,26.2152
8.22384,8.56747,26.213
8.2582,8.62875,26.2186
8.29525,8.68957,26.232
8.33469,8.74934,26.2533
8.37615,8.80742,26.2825
8.41928,8.86321,26.3193
8.46367,8.91608,26.3637
8.50891,8.96541,26.4153
8.55456,9.0106,26.4737
8.60017,9.05106,26.5386
8.64526,9.08623,26.6093
8.68935,9.1156,26.6852
8.73198,9.13869,26.7657
8.77265,9.15508,26.85
